3332;碎星锭;icons/icon_item_0855.dds.png;金属
3360;橡胶轮;icons/icon_item_0077.dds.png;橡胶
3407;空背架;icons/icon_item_0384.dds.png;生产材料
3408;白糖;icons/icon_item_0085.dds.png;调味料
3409;食盐;icons/icon_item_0085.dds.png;调味料
3451;石化蜥蜴鳞片;icons/quest/icon_item_quest048.dds.png;炼金材料
2191;蝙蝠爪;icons/icon_item_0186.dds.png;炼金材料
2250;豆油;icons/icon_item_0309.dds.png;食用油
2251;橄榄油;icons/icon_item_0309.dds.png;食用油
3748;银白色粉末;icons/icon_item_0085.dds.png;炼金材料
3796;巨魔血液;icons/quest/icon_item_quest038.dds.png;炼金材料
3932;猫头鹰羽毛;icons/quest/icon_item_quest129.dds.png;炼金材料
3939;水银;icons/icon_item_0165.dds.png;炼金材料
3940;海鸥羽毛;icons/quest/icon_item_quest129.dds.png;炼金材料
4747;特产品质认证书;icons/icon_item_0857.dds.png;生产材料
1383;毒性粉末;icons/icon_item_0089.dds.png;炼金材料
688;龙的槽牙;icons/icon_item_0189.dds.png;炼金材料
7752;狐狸尾巴;icons/quest/icon_item_quest097.dds.png;炼金材料
7757;旧布;icons/icon_item_0065.dds.png;布料
7760;野猪槽牙;icons/icon_item_0189.dds.png;炼金材料
7770;猪笼草草茎;icons/quest/icon_item_quest166.dds.png;炼金材料
7771;猪笼草唾腺;icons/icon_item_0080.dds.png;炼金材料
7773;薄布条;icons/icon_item_0065.dds.png;布料
7774;粘液团;icons/quest/icon_item_quest038.dds.png;炼金材料
7775;坚韧的皮绳;icons/icon_item_0049.dds.png;皮革
7783;模糊的风痕;icons/quest/icon_item_quest103.dds.png;炼金材料
7784;肮脏的布条;icons/icon_item_0065.dds.png;布料
7786;透明的风痕;icons/quest/icon_item_quest103.dds.png;炼金材料
7801;人鱼尾巴;icons/icon_item_0105.dds.png;炼金材料
7802;人鱼鳞片;icons/icon_item_0053.dds.png;炼金材料
7804;人鱼鳍;icons/icon_item_0109.dds.png;炼金材料
7836;蜥蜴尾巴;icons/icon_item_0180.dds.png;炼金材料
7840;尖喙鸟羽毛;icons/icon_item_0170.dds.png;炼金材料
7896;鹰身女妖羽毛;icons/icon_item_0170.dds.png;炼金材料
7897;鹰身女妖爪;icons/icon_item_0169.dds.png;炼金材料
7909;鳄鱼尾巴;icons/quest/icon_item_quest159.dds.png;炼金材料
7910;鳄鱼牙齿;icons/icon_item_0189.dds.png;炼金材料
7922;象牙;icons/icon_item_0189.dds.png;炼金材料
7933;海虫毒腺;icons/icon_item_0080.dds.png;炼金材料
7940;巨魔槽牙;icons/icon_item_0169.dds.png;炼金材料
7945;蜥蜴人爪子;icons/icon_item_0169.dds.png;炼金材料
7952;狼獠牙;icons/icon_item_0189.dds.png;炼金材料
7963;蜥蜴人的皮;icons/icon_item_0095.dds.png;炼金材料
7976;蝎子尾巴;icons/icon_item_0180.dds.png;炼金材料
